category,pick,actual,result,notes
Game market,ATL +4.5,ATL won 35-14,WIN,"Shadow only"
Game market,ATL ML +205,ATL won 35-14,WIN,"Shadow only; do not promote from one result"
Game market,UNDER 43.5,49 total points,LOSS,"Shadow only"
Alt rush,MarShawn Lloyd 15+ rushing -280,11 rushing yards,LOSS,"Value shadow"
Alt rush,MarShawn Lloyd 20+ rushing -178,11 rushing yards,LOSS,"Value shadow"
Alt rush,Bijan Robinson 60+ rushing -280,194 rushing yards,WIN,"Was marked no-edge/pass, not a recommended shadow bet"
Addon,Austin Hooper O0.5 receptions -122,2 receptions,WIN,"Shadow only"
Addon,Austin Hooper O7.5 receiving +108,11 receiving yards,WIN,"Shadow only"
Addon,Tucker Kraft U46.5 receiving -113,26 receiving yards,WIN,"Shadow only"
Addon,Jonnu Smith O8.5 receiving -125,16 receiving yards,WIN,"Shadow only"
