player_display_name,prop,line,team,opponent,week,over_odds,under_odds,yes_odds
Xavier Smith,receptions,1.5,LAR,NYG,2,124,-166,
Blake Corum,receptions,1.5,LAR,NYG,2,235,-340,
Cam Skattebo,receptions,1.5,NYG,LAR,2,-125,-106,
Darnell Mooney,receptions,1.5,NYG,LAR,2,-122,-108,
Devin Singletary,receptions,1.5,NYG,LAR,2,116,-154,
Tyler Higbee,receptions,1.5,LAR,NYG,2,108,-144,
Konata Mumpfield,receptions,1.5,LAR,NYG,2,-120,-110,
Theo Johnson,receptions,0.5,NYG,LAR,2,-245,178,
Kyren Williams,receptions,2.5,LAR,NYG,2,-102,-130,
Isaiah Likely,receptions,4.5,NYG,LAR,2,-102,-130,
Terrance Ferguson,receptions,2.5,LAR,NYG,2,102,-136,
Malachi Fields,receptions,2.5,NYG,LAR,2,130,-174,
Colby Parkinson,receptions,3.5,LAR,NYG,2,118,-158,
Davante Adams,receptions,5.5,LAR,NYG,2,112,-148,
Malik Nabers,receptions,5.5,NYG,LAR,2,-102,-130,
Terrance Ferguson,te_rec_yds,33.5,LAR,NYG,2,-113,-113,
Isaiah Likely,te_rec_yds,44.5,NYG,LAR,2,-113,-113,
Colby Parkinson,te_rec_yds,30.5,LAR,NYG,2,-113,-113,
Tyler Higbee,te_rec_yds,11.5,LAR,NYG,2,-113,-113,
Theo Johnson,te_rec_yds,9.5,NYG,LAR,2,-113,-113,
