player_display_name,team,prop,line,over_odds,under_odds
Xavier Smith,LAR,receptions,1.5,124,-166
Blake Corum,LAR,receptions,1.5,235,-340
Cam Skattebo,NYG,receptions,1.5,-125,-106
Darnell Mooney,NYG,receptions,1.5,-122,-108
Devin Singletary,NYG,receptions,1.5,116,-154
Tyler Higbee,LAR,receptions,1.5,108,-144
Konata Mumpfield,LAR,receptions,1.5,-120,-110
Theo Johnson,NYG,receptions,0.5,-245,178
Kyren Williams,LAR,receptions,2.5,-102,-130
Isaiah Likely,NYG,receptions,4.5,-102,-130
Terrance Ferguson,LAR,receptions,2.5,102,-136
Malachi Fields,NYG,receptions,2.5,130,-174
Colby Parkinson,LAR,receptions,3.5,118,-158
Davante Adams,LAR,receptions,5.5,112,-148
Malik Nabers,NYG,receptions,5.5,-102,-130
Terrance Ferguson,LAR,te_rec_yds,33.5,-113,-113
Isaiah Likely,NYG,te_rec_yds,44.5,-113,-113
Colby Parkinson,LAR,te_rec_yds,30.5,-113,-113
Tyler Higbee,LAR,te_rec_yds,11.5,-113,-113
Theo Johnson,NYG,te_rec_yds,9.5,-113,-113
