player_display_name,team,prop,line,over_odds,under_odds
MarShawn Lloyd,GB,receptions,1.5,162,-220
Austin Hooper,ATL,receptions,0.5,-122,-106
Chris Brooks,GB,receptions,1.5,130,-174
Jahan Dotson,ATL,receptions,1.5,-138,104
Olamide Zaccheaus,ATL,receptions,1.5,136,-182
Skyy Moore,GB,receptions,1.5,120,-160
Jonnu Smith,GB,receptions,1.5,154,-210
Bijan Robinson,ATL,receptions,4.5,-125,-106
Tucker Kraft,GB,receptions,3.5,-154,116
Kyle Pitts,ATL,receptions,3.5,-114,-114
Christian Watson,GB,receptions,4.5,-148,112
Drake London,ATL,receptions,5.5,106,-140
Matthew Golden,GB,receptions,4.5,102,-136
Kyle Pitts,ATL,te_rec_yds,36.5,-113,-113
Tucker Kraft,GB,te_rec_yds,46.5,-113,-113
Austin Hooper,ATL,te_rec_yds,7.5,108,-138
Jonnu Smith,GB,te_rec_yds,8.5,-125,102
