player_display_name,team,prop,line,over_odds,under_odds
Jordan Love,GB,qb_pass_yds,231.5,-113,-113
Michael Penix Jr.,ATL,qb_pass_yds,204.5,-113,-113
Chris Brooks,GB,rb_rush_yds,14.5,-113,-113
Kaleb Johnson,GB,rb_rush_yds,37.5,-113,-113
Bijan Robinson,ATL,rec_yds,37.5,-113,-113
MarShawn Lloyd,GB,rec_yds,5.5,-102,-125
Chris Brooks,GB,rec_yds,6.5,-106,-120
Olamide Zaccheaus,ATL,rec_yds,10.5,-113,-113
Skyy Moore,GB,rec_yds,12.5,-113,-113
Jahan Dotson,ATL,rec_yds,17.5,-113,-113
Drake London,ATL,rec_yds,65.5,-113,-113
Matthew Golden,GB,rec_yds,54.5,-113,-113
Christian Watson,GB,rec_yds,71.5,-113,-113
